Timestamp,Shape,Color
2024-10-07 16:50:39.168449,Pentagon,undefined
2024-10-07 16:50:39.170391,Rectangle,undefined
2024-10-07 16:50:39.205535,Pentagon,undefined
2024-10-07 16:50:39.207459,Rectangle,undefined
2024-10-07 16:50:39.235398,Circle,undefined
2024-10-07 16:50:39.237078,Rectangle,undefined
2024-10-07 16:50:39.269466,Rectangle,undefined
2024-10-07 16:50:39.300420,Circle,undefined
2024-10-07 16:50:39.334626,Rectangle,undefined
2024-10-07 16:50:39.335806,Circle,undefined
2024-10-07 16:50:39.365186,Pentagon,undefined
2024-10-07 16:50:39.366337,Rectangle,undefined
2024-10-07 16:50:39.397991,Circle,undefined
2024-10-07 16:50:39.399275,Rectangle,undefined
2024-10-07 16:50:39.432195,Circle,undefined
2024-10-07 16:50:39.433691,Rectangle,undefined
2024-10-07 16:50:39.469653,Rectangle,undefined
2024-10-07 16:50:39.500569,Rectangle,undefined
2024-10-07 16:50:39.502235,Rectangle,undefined
2024-10-07 16:50:39.533305,Rectangle,undefined
2024-10-07 16:50:39.534970,Rectangle,undefined
2024-10-07 16:50:39.568478,Rectangle,undefined
2024-10-07 16:50:39.601576,Rectangle,undefined
2024-10-07 16:50:39.603278,Rectangle,undefined
2024-10-07 16:50:39.632465,Rectangle,undefined
2024-10-07 16:50:39.634257,Rectangle,undefined
2024-10-07 16:50:39.662473,Pentagon,undefined
2024-10-07 16:50:39.663570,Rectangle,undefined
2024-10-07 16:50:39.695109,Pentagon,undefined
2024-10-07 16:50:39.695496,Rectangle,undefined
2024-10-07 16:50:39.733203,Rectangle,undefined
2024-10-07 16:50:39.734825,Rectangle,undefined
2024-10-07 16:50:39.764472,Rectangle,undefined
2024-10-07 16:50:39.766243,Rectangle,undefined
